algorithm,bits,min,max,mean,median,stdev,cv,samples
lcg,40,74.0,124.0,88.2,77.0,20.825465180878915,0.236116385270736,5
miller_rabin,40,22053.0,39922.0,26820.8,24030.0,7374.489046706897,0.27495410452734065,5
